"wine_id","grape_id","grapes"
1136413,1,"Shiraz/Syrah"
1136526,2,"Cabernet Sauvignon"
1136983,16,"Sangiovese"
1137679,2,"Cabernet Sauvignon"
1137682,17,"Sauvignon Blanc"
1137773,3,"Cabernet Franc"
1138019,2,"Cabernet Sauvignon"
1138333,19,"Tempranillo"
1140718,15,"Riesling"
1141112,2,"Cabernet Sauvignon"
1141289,15,"Riesling"
1141447,43,"Corvina"
1142267,385,"Mencia"
1143846,10,"Merlot"
1143938,2,"Cabernet Sauvignon"
1143960,16,"Sangiovese"
1143985,14,"Pinot Noir"
1144718,14,"Pinot Noir"
1145360,3,"Cabernet Franc"
1145382,2,"Cabernet Sauvignon"
1145410,10,"Merlot"
1145413,2,"Cabernet Sauvignon"
1146003,3,"Cabernet Franc"
1147819,16,"Sangiovese"
1148035,2,"Cabernet Sauvignon"
1148839,2,"Cabernet Sauvignon"
1148844,2,"Cabernet Sauvignon"
1149396,2,"Cabernet Sauvignon"
1149558,10,"Merlot"
1151894,1,"Shiraz/Syrah"
1152438,2,"Cabernet Sauvignon"
1152896,1,"Shiraz/Syrah"
1153539,1,"Shiraz/Syrah"
1153630,2,"Cabernet Sauvignon"
1153702,2,"Cabernet Sauvignon"
1153828,3,"Cabernet Franc"
1153881,1,"Shiraz/Syrah"
1154913,2,"Cabernet Sauvignon"
1155217,2,"Cabernet Sauvignon"
1159129,1,"Shiraz/Syrah"
1159142,5,"Chardonnay"
1159145,1,"Shiraz/Syrah"
1159195,2,"Cabernet Sauvignon"
1159641,1,"Shiraz/Syrah"
1159878,1,"Shiraz/Syrah"
1160550,2,"Cabernet Sauvignon"
1161267,2,"Cabernet Sauvignon"
1161268,2,"Cabernet Sauvignon"
1161753,1,"Shiraz/Syrah"
1161798,2,"Cabernet Sauvignon"
1161809,1,"Shiraz/Syrah"
1162093,1,"Shiraz/Syrah"
1162245,2,"Cabernet Sauvignon"
1163903,19,"Tempranillo"
1163958,15,"Riesling"
1164131,2,"Cabernet Sauvignon"
1165001,16,"Sangiovese"
1166103,16,"Sangiovese"
1166231,2,"Cabernet Sauvignon"
1166785,2,"Cabernet Sauvignon"
1167880,12,"Nebbiolo"
1168278,2,"Cabernet Sauvignon"
1168554,1,"Shiraz/Syrah"
1168676,2,"Cabernet Sauvignon"
1170007,299,"Spätburgunder"
